Wall time,Step,Value
1668345961.4714487,7922,-333.60772705078125
1668345961.5233116,8010,-382.0121765136719
1668345961.580162,8117,-453.8439025878906
1668345961.643987,8232,-424.6219482421875
1668345961.685877,8323,-394.7431640625
1668345961.7068202,8381,-137.52935791015625
1668345961.7347462,8446,-95.27061462402344
1668345961.775637,8542,-175.79330444335938
1668345961.8115392,8628,-330.2344055175781
1668345961.8414617,8701,-98.09487915039062
1668345961.876384,8762,-284.8717346191406
1668345961.9132676,8836,-85.52717590332031
1668345961.959144,8931,-97.37979888916016
1668345962.095813,9162,-548.01708984375
1668345962.137149,9228,-85.34895324707031
1668345962.1780398,9287,-166.1741943359375
1668345962.2159407,9375,-253.63116455078125
1668345962.3017094,9461,-268.827392578125
1668345962.3735173,9579,-538.724609375
1668345962.4034379,9644,-120.18560791015625
1668345962.4373496,9715,-124.20313262939453
1668345962.4822326,9811,-380.1529235839844
1668345962.5390751,9918,-259.7176208496094
1668345962.571986,9988,-91.84368896484375
1668345962.6617463,10076,-470.23651123046875
1668345962.75749,10165,-226.46798706054688
1668345962.8701894,10268,-99.12582397460938
1668345962.9709187,10368,-292.0087890625
1668345963.0586846,10460,-324.777587890625
1668345963.1693883,10565,-209.9447021484375
1668345963.2611446,10655,-227.53912353515625
1668345963.35589,10743,26.978591918945312
1668345963.44166,10832,-197.73385620117188
1668345963.552364,10952,-24.855613708496094
1668345963.6201832,11024,-123.54962158203125
1668345963.7328892,11109,-243.41854858398438
1668345963.906417,11210,-419.73541259765625
1668345964.0669873,11290,-78.3111343383789
1668345964.1437821,11366,-165.33660888671875
1668345964.226561,11457,-113.18466186523438
1668345964.318315,11546,-232.90817260742188
1668345964.4100692,11653,-392.7698974609375
1668345964.5177817,11764,-160.1281280517578
1668345964.5925817,11850,-458.498779296875
1668345964.7691095,12022,-102.92185974121094
1668345964.8708363,12129,-384.134033203125
1668345964.942645,12225,-302.119384765625
1668345965.0184422,12328,-554.7515869140625
1668345965.0822737,12415,-515.26611328125
1668345965.137124,12493,-122.16635131835938
1668345965.1859937,12564,-221.7168731689453
1668345965.2368581,12637,-99.55421447753906
1668345965.3016844,12729,-319.78033447265625
1668345965.3595312,12806,-289.789794921875
1668345965.441311,12907,-548.9556884765625
1668345965.5201004,13024,-493.8404846191406
1668345965.6308045,13102,-426.6970520019531
1668345965.69962,13179,-256.3018798828125
1668345965.7704325,13270,-317.1990051269531
1668345965.8422387,13353,-270.36090087890625
1668345965.918336,13455,-213.98980712890625
1668345965.9771776,13536,-503.88116455078125
1668345966.0297215,13620,-134.1219024658203
1668345966.0854688,13703,-399.6924133300781
1668345966.159271,13792,-321.23309326171875
1668345966.242994,13854,-91.72314453125
1668345966.3303597,13946,-417.806640625
1668345966.4891315,14096,-91.98651885986328
1668345966.5429876,14158,-203.0269775390625
1668345966.6562684,14237,-220.72000122070312
1668345966.728083,14296,-92.11711120605469
1668345966.8108547,14382,-149.80670166015625
1668345966.861719,14446,-148.20687866210938
1668345966.9315329,14533,-326.8583679199219
1668345967.008739,14628,-145.2178955078125
1668345967.1620786,14747,-189.07974243164062
1668345967.2076306,14817,-162.95004272460938
1668345967.2734551,14907,-110.51840209960938
1668345967.3337536,14990,-190.50474548339844
1668345967.3904505,15070,-60.17576599121094
1668345967.4433088,15149,-111.05630493164062
1668345967.5054567,15236,-116.65576171875
1668345967.6363149,15337,-47.613834381103516
1668345967.727621,15419,-342.3055419921875
1668345967.7972066,15516,-282.36248779296875
1668345967.8640275,15608,-151.03219604492188
1668345967.93549,15710,-252.66123962402344
1668345968.0033092,15817,-184.26031494140625
1668345968.0710113,15928,-166.7459716796875
1668345968.1290596,16021,-117.54255676269531
